domain,missing_fields,shopify_score,india_score
https://dermatologistcart.com,"socials,logo",11,13
https://devakistore.com,socials,12,14
https://dhanhealth.com,socials,12,13
https://divineeraherbal.com,state,12,4
https://divinefaith.in,"phones,socials,state",12,7
https://drushtigroups.in,phones,12,4
https://eazypeace.com,state,12,6
https://econicclothing.com,"phones,socials,logo,state",12,4
https://elementals.in,"phones,socials",12,4
https://elevejewels.com,"socials,state",12,4
https://elitebridalstore.com,socials,12,10
https://encaredevices.com,"socials,state",12,8
https://es-419.millpower.in,socials,11,5
https://evoraparis.com,"phones,socials",12,6
https://exoticindiafashion.myshopify.com,"phones,socials,logo",12,6
https://eyesofgypsy.com,state,11,5
https://fairiesforever.in,socials,12,13
https://famyo.in,phones,12,13
https://farmley.com,socials,12,11
https://fentacia.com,state,12,4
https://flightmode.co.in,socials,12,18
https://flourish.shop,state,12,4
https://foodwalas.com,state,11,9
https://foretstore.com,phones,12,6
https://fromtheorigin.in,"phones,socials",12,13
https://furnitureone.com,emails,12,10
https://furstgear.com,socials,11,13
https://g29fashion.com,state,11,7
https://gadgetbuy.co.in,socials,12,9
https://gadgetlane.co.in,socials,12,9
https://galluchaparis.com,state,12,5
https://gannubhai.com,socials,12,14
https://garudarabbit.com,"emails,phones,socials,logo",12,9
https://gegocraft.com,logo,12,14
https://getknotty.in,socials,12,15
https://girley.co.in,socials,12,12
https://globallyindian.com,socials,12,14
https://globalstep.in,socials,12,14
https://glorycandles.com,socials,12,12
https://glossygirl.in,socials,12,15
https://goodluckfortunecookies.com,emails,12,14
https://goxfused.com,phones,12,8
https://grael.in,"socials,logo",12,5
https://gudhealthy.com,socials,12,10
https://gustorafoods.com,emails,12,13
https://gyansfashion.com,socials,12,5
https://h9cfn0-cy.myshopify.com,socials,11,12
https://hamarafarms.com,socials,12,4
https://handikart.co.in,state,12,9
https://happy-cart.co.in,"phones,socials",12,9
https://hasora.in,"emails,phones",12,12
https://havochobby.in,state,12,11
https://headphonezone.in,emails,11,7
https://healsugar.in,socials,11,15
https://heavenhomedecor.in,phones,12,13
https://hemacollections.in,state,12,6
https://herbocleanz.com,socials,12,13
https://hijabcollections.in,description,12,17
https://homefromindia.myshopify.com,state,11,4
https://honeyport.co.in,socials,12,18
https://hopknock.com,socials,12,13
https://horizonlux.in,"phones,socials",11,6
https://hortica.in,"phones,socials",12,4
https://houseofcelebrations.co,state,12,8
https://houseofkaura.com,"socials,state",12,5
https://houseofpravaya.com,socials,12,7
https://houseofzuri.in,phones,12,13
https://hpkmdeals.store,socials,12,8
https://hskjewellery.com,socials,12,14
https://ilairashop.com,socials,12,17
https://imagineonline.store,logo,12,11
https://imdfashion.in,description,12,15
https://in.neutriderm.com,socials,12,14
https://indianhub.com,socials,12,15
https://inlifecare.com,emails,12,13
https://inr.vioa.in,socials,12,13
https://inscalehome.com,emails,12,13
https://inspireonline.in,emails,12,14
https://instaarts.in,socials,12,17
https://intervalmagiclamps.com,socials,11,13
https://intunefashion.com,description,12,12
https://iriefoods.in,"emails,phones",12,12
https://islamichomedecor.in,state,12,8
https://itspixiedust.com,socials,12,13
https://jaimora.com,socials,12,14
https://jaiswalopticals.com,socials,12,13
https://janasyawholesale.co,socials,12,12
https://japanesetaste.in,"emails,state",11,6
https://jeevavedastore.com,description,12,7
https://jewelsbyucreations.in,socials,12,12
https://jpayurveda.com,socials,11,10
https://juicycouture.in,state,12,4
https://jvapafoods.com,"emails,state",12,7
https://kaapiroyale.in,socials,11,15
https://kaisori.com,state,12,4
https://kanjhomedecor.com,description,12,13
https://karagiriconcepts.com,phones,12,5
https://kasbahnaturals.com,"phones,socials",12,8
https://kashmirorigin.com,state,12,7
https://kattam.in,state,12,6
https://keralaayurveda.com,phones,12,12
https://khavda.com,socials,11,14
https://kidsclap.in,"phones,state",11,4
https://kitchensecret.in,socials,12,13
https://kmrsilks.com,description,12,5
https://kollacrispypoint.com,socials,12,14
https://kunchals.in,emails,12,13
https://kyzo.in,"emails,state",11,8
https://ladyzonestore.com,"emails,phones",12,12
https://lakshmistores.com,state,11,5
https://layerzero.co.in,socials,12,14
https://levi.in,state,11,6
https://lightcareindia.in,socials,12,15
https://lightsandliving.com,state,11,7
https://limebymanika.com,socials,11,14
https://littleboxindia.com,socials,11,12
https://littlejoycompany.com,socials,12,13
https://ludhianakicks.com,"socials,logo,state",12,4
https://luvayaa.com,socials,12,9
https://luxuryplug.in,socials,12,12
https://maatrafashion.com,state,12,8
https://macadve.in,socials,12,11
https://madinkco.in,state,12,5
https://madrascart.com,state,12,5
https://magnistra.com,"phones,socials,logo",12,15
https://majafi.com,phones,12,12
https://maniarajewels.com,socials,11,14
https://mantara.in,emails,12,14
https://marketscout.store,"socials,description,logo",12,14
https://maths.ifasonline.com,socials,12,14
https://matrut.com,"emails,state",12,8
https://mederma.co.in,description,12,5
https://melionsbrothers.com,state,12,6
https://mijaurie.in,"socials,state",12,9
https://mmtoyworld.com,socials,12,17
https://mobitimestore.com,"socials,description",12,14
https://modernmarkets.in,socials,12,9
https://monri.in,socials,12,12
https://motifiqofficial.com,socials,12,5
https://motocasa.in,logo,12,12
https://motousher.com,emails,12,14
https://mudojeans.myshopify.com,state,12,4
https://mycarmesi.com,phones,11,8
https://myrtle.net.in,state,12,6
https://mystiqare.com,socials,11,11
https://nakodasboutique.com,description,12,14
https://namasyajaipur.com,socials,12,11
https://nanobal.in,socials,12,14
https://naturin.in,socials,12,12
https://neehaarethnic.com,socials,12,14
https://neelgar.com,socials,12,13
https://nemalee.com,socials,12,14
https://nerdlane.in,socials,12,15
https://nestauraliving.in,socials,12,16
https://nilkamalhomes.com,state,11,5
https://niramneela.in,"emails,phones",12,7
https://nirvya.in,"socials,logo,state",12,5
https://nkboutique.nankatrathu.in,socials,12,14
https://nookatyou.com,state,11,5
https://northernspices.in,state,12,6
https://nourishcode.in,"socials,state",12,6
https://nutristar.in,state,11,6
https://olif.in,state,12,5
https://omniaindia.com,phones,12,12
https://oneiroscafe.com,emails,12,10
https://osmbeautyland.com,"emails,socials,logo",11,11
https://outerwoods.in,state,12,8
https://ovarajewels.com,"phones,socials",12,12
https://padigam.com,"socials,logo",12,14
https://palsona.in,socials,12,18
https://partpulse.in,"phones,socials",12,9
https://pasika.in,"phones,description",12,9
https://pawpals.co.in,"socials,logo",12,6
https://peachmode.com,state,11,5
https://phuljhadi.com,emails,12,14
https://pinksafashion.com,"socials,description,logo",12,7
https://pinkwoolf.com,state,12,8
https://poorvavaibhavam.com,emails,12,13
https://portronics.com,emails,11,13
https://prakritii.com,phones,12,7
https://preciousjewelpieces.com,"socials,state",12,5
https://preetsecrets.com,"socials,description",12,13
https://princenprincess.us,socials,12,12
https://purepanda.in,socials,12,11
https://rashmisarees.com,socials,12,12
https://ravaah.in,phones,12,9
https://refash.in,state,12,8
https://reformyourcloset.myshopify.com,phones,12,12
https://ridersindia.com,socials,12,14
https://rishtafoodshop.com,socials,12,8
https://ritvion.in,socials,12,14
https://riyadesignshop.com,state,12,4
https://rooveto.com,state,12,7
https://rrcycles.in,socials,12,17
https://rrveda.com,socials,12,8
https://rufftail.com,socials,12,13
https://saanskrityamhandicrafts.com,"phones,state",11,4
https://saarastextiles.com,description,12,10
https://sacredherbs.in,state,12,8
https://sagansinghmakeup.in,socials,12,10
https://sagemetals.co,socials,12,8
https://sahibacar.in,socials,12,18
https://sanafashionhouse.in,"socials,logo",12,6
https://sanjogindia.com,state,12,5
https://saraam.co,"phones,socials",12,12
https://sarteo.in,"description,state",12,8
https://saurangindia.com,emails,12,14
https://sepiahomes.com,socials,12,14
https://serendipitydelhi.com,logo,12,12
https://sesacare.com,state,12,8
https://shoebank.in,emails,12,11
https://shop.palelectricalsystems.com,socials,12,10
https://shop.tagdaraho.in,"emails,socials",12,14
https://shopguts.co,description,12,11
https://shoplea.in,emails,12,12
https://shoppinkcity.in,phones,12,13
https://shreeanjaneyahardware.com,socials,12,14
https://shunyaindia.in,socials,12,15
https://sicarioperfumes.com,phones,12,8
https://silkroutes.co.in,"socials,state",12,9
https://silverlinings.in,state,12,9
https://silvermerc.com,state,12,8
https://sizeupp.com,socials,12,13
https://skinon.in,"phones,state",12,4
https://smokeoil.in,"phones,socials,logo",12,10
https://snapperfumes.in,socials,12,13
https://snooplay.in,state,11,6
https://songkyo.com,"phones,socials",12,12
https://soothys.in,phones,12,10
https://sootisaga.com,description,12,8
https://sparewick.com,socials,12,11
https://sparshapparel.in,socials,12,15
https://specialyou.in,state,12,5
https://spenca.in,socials,12,15
https://spigen.in,state,11,7
https://sripuramstore.com,state,12,7
https://sriswaminathan.com,state,12,5
https://statementps.com,description,12,17
https://staxfashion.store,"socials,logo",12,4
https://staypure.net,"logo,state",12,6
https://steelhouse.shop,socials,12,10
https://stheory.in,state,12,4
https://store.drmickeymehta.com,"socials,logo,state",12,4
https://store.healthifyme.com,phones,12,11
https://stores.excelpumps.in,socials,12,14
https://storite.in,socials,12,14
https://strongsoul.in,socials,12,10
https://ststyletry.com,socials,12,17
https://studioanviksha.com,emails,12,10
https://stycwots.in,"socials,logo,state",12,5
https://su-kham.com,state,12,5
https://supermunchies.com,state,12,7
https://supermusclesnutrition.com,socials,11,14
https://suryavanshi.net,socials,12,17
https://suta.in,"emails,phones,socials,state",11,6
https://svarnajewels.in,phones,12,13
https://swabhav.com.co,"socials,logo",12,13
https://swadeshipitara.com,socials,12,14
https://synergybysm.com,socials,12,11
https://tajknittingyarn.com,phones,12,9
https://thaif.in,socials,12,15
https://tharunkiron.com,socials,12,12
https://theapparelbox.com,state,12,7
https://thebakingculture.com,emails,12,10
https://thebeautycare.in,"phones,socials",12,7
https://thechambersakc.com,socials,12,13
https://thedesigneroutfit.com,socials,12,17
https://thednaclothing.in,socials,11,12
https://thefitsquad.in,socials,12,13
https://thegenzstreet.com,"phones,description,state",12,6
https://thehomeaffairjaipur.in,emails,12,6
https://thejungleharvest.com,phones,12,11
https://themanduvaproject.in,state,12,6
https://thementhing.com,socials,12,17
https://thenesavu.com,emails,11,17
https://theplatedproject.com,state,11,5
https://theurbanbuds.com,state,11,7
https://theuseeshop.com,emails,12,17
https://thevaranasivastra.com,"phones,socials",12,12
https://thevarmulcompany.com,"socials,state",12,7
https://theveloura.in,socials,11,15
https://thewelayu.com,socials,12,17
https://thexperfumes.com,socials,12,13
https://theyogisociety.in,socials,11,15
https://thriftheaven.in,state,12,5
https://tinytwig.in,state,11,9
https://tntecomp.com,socials,12,17
https://toyznme.com,"socials,state",12,5
https://trendytrays.com,state,11,8
https://trendzjewellery.in,description,12,18
https://trujvaa.in,socials,12,13
https://tryeat.co,"phones,socials,logo",12,12
https://tulipnturtle.com,state,12,10
https://ujooba.in,state,12,8
https://uphaarjewels.com,state,12,4
https://uraib.in,socials,12,11
https://urjainc.co.in,"phones,state",12,4
https://vanshanaturals.com,socials,12,9
https://varanasisaree.com,state,12,7
https://varanya.in,socials,11,15
https://vastraamall.in,description,12,14
https://viblush.in,socials,12,14
https://vilvahstore.com,state,11,7
https://wallpaperprinting.in,socials,12,13
https://whimsicalkids.in,description,12,5
https://wildforaherbs.com,socials,12,13
https://wildhoneyhunters.com,phones,12,12
https://wowgifts.co.in,socials,12,12
https://xiaobear.com,phones,12,12
https://xivora.store,phones,11,9
https://yarnberry.in,"phones,socials,state",12,7
https://zebba.co.in,state,12,7
https://zevar.com,state,12,6
https://zipbypayalzinal.com,socials,12,11
https://zishta.com,emails,12,13
https://zuame.in,socials,11,18
